instance,n,m,method,solved,valid,solve_time
"instanceTest.txt",4,4,"cplex",true,true,0.26600003242492676
"instanceTest.txt",4,4,"heuristic",true,true,0.1809999942779541
"instance_3x3_1.txt",3,3,"cplex",true,true,0.0019998550415039062
"instance_3x3_1.txt",3,3,"heuristic",true,true,0.0009999275207519531
"instance_3x3_2.txt",3,3,"cplex",true,true,0.003999948501586914
"instance_3x3_2.txt",3,3,"heuristic",true,true,0.0
"instance_3x3_3.txt",3,3,"cplex",true,true,0.004999876022338867
"instance_3x3_3.txt",3,3,"heuristic",true,true,0.0
"instance_3x3_4.txt",3,3,"cplex",true,true,0.005000114440917969
"instance_3x3_4.txt",3,3,"heuristic",true,true,0.0
"instance_3x3_5.txt",3,3,"cplex",true,true,0.006000041961669922
"instance_3x3_5.txt",3,3,"heuristic",true,true,0.0
"instance_4x4_1.txt",4,4,"cplex",true,true,0.004999876022338867
"instance_4x4_1.txt",4,4,"heuristic",false,false,5.001999855041504
"instance_4x4_2.txt",4,4,"cplex",true,true,0.006999969482421875
"instance_4x4_2.txt",4,4,"heuristic",true,true,0.003000020980834961
"instance_4x4_3.txt",4,4,"cplex",true,true,0.031999826431274414
"instance_4x4_3.txt",4,4,"heuristic",true,true,0.0989999771118164
"instance_4x4_4.txt",4,4,"cplex",true,true,0.0070002079010009766
"instance_4x4_4.txt",4,4,"heuristic",true,true,0.0
"instance_4x4_5.txt",4,4,"cplex",true,true,0.02700018882751465
"instance_4x4_5.txt",4,4,"heuristic",true,true,0.01399993896484375
"instance_5x5_1.txt",5,5,"cplex",true,true,0.019999980926513672
"instance_5x5_1.txt",5,5,"heuristic",false,false,5.000999927520752
"instance_5x5_2.txt",5,5,"cplex",true,true,0.023000001907348633
"instance_5x5_2.txt",5,5,"heuristic",false,false,5.001999855041504
"instance_5x5_3.txt",5,5,"cplex",true,true,0.01699995994567871
"instance_5x5_3.txt",5,5,"heuristic",false,false,5.000999927520752
"instance_5x5_4.txt",5,5,"cplex",true,true,0.012000083923339844
"instance_5x5_4.txt",5,5,"heuristic",false,false,5.006999969482422
"instance_5x5_5.txt",5,5,"cplex",true,true,0.015000104904174805
"instance_5x5_5.txt",5,5,"heuristic",false,false,5.000999927520752
"instance_6x6_1.txt",6,6,"cplex",true,true,0.04699993133544922
"instance_6x6_1.txt",6,6,"heuristic",false,false,5.001000165939331
"instance_6x6_2.txt",6,6,"cplex",true,true,0.07400012016296387
"instance_6x6_2.txt",6,6,"heuristic",false,false,5.000999927520752
"instance_6x6_3.txt",6,6,"cplex",true,true,0.056999921798706055
"instance_6x6_3.txt",6,6,"heuristic",false,false,5.003000020980835
"instance_6x6_4.txt",6,6,"cplex",true,true,0.35199999809265137
"instance_6x6_4.txt",6,6,"heuristic",false,false,5.002000093460083
"instance_6x6_5.txt",6,6,"cplex",true,true,0.046000003814697266
"instance_6x6_5.txt",6,6,"heuristic",false,false,5.000999927520752
