., ., ., ., ., N, ., ., ., ., N, ., ., ., .
., ., ., ., ., N, 0, ., ., ., ., ., ., ., .
1, N, ., ., ., ., ., ., 1, ., ., ., N, ., .
N, ., 0, ., ., N, 3, ., ., ., ., ., N, ., .
2, ., 0, N, N, 2, ., ., ., ., ., ., 0, ., .
., ., 1, ., ., ., ., 1, ., N, 0, ., ., ., .
., ., ., ., ., ., ., ., ., ., ., ., ., 4, .
., 2, ., 2, ., N, ., N, N, N, ., ., ., ., .
., ., ., ., ., 0, ., ., ., ., 4, ., ., ., 1
., ., 0, ., ., ., ., ., 0, ., ., ., N, N, .
N, ., ., ., 1, 0, 1, 1, N, ., ., ., ., ., N
., ., ., ., ., ., N, ., N, ., 4, ., ., 2, .
., 0, ., ., ., ., ., ., ., ., ., ., N, ., 1
N, ., 0, ., ., 2, N, N, ., ., ., N, ., ., N
N, ., 1, N, ., ., 2, ., ., 0, ., ., N, ., 1
