., N, ., N, ., ., ., 1, ., ., ., ., ., ., .
., 0, ., ., ., 0, ., ., ., ., N, ., ., ., .
2, ., ., ., ., 1, 3, ., ., ., ., 4, ., ., .
., ., ., N, ., 1, ., ., ., ., ., ., ., ., N
., 0, ., ., ., 0, N, ., N, ., 0, ., 3, ., .
., ., 0, ., ., ., ., ., N, ., ., ., 2, ., .
., ., ., ., 2, 2, ., ., N, ., ., ., N, 1, .
., ., 2, ., ., ., ., ., ., ., N, ., ., 0, .
2, N, ., ., ., ., N, N, N, ., ., ., ., N, .
., ., N, ., ., N, N, ., ., ., N, ., ., ., .
N, N, ., ., ., ., ., ., ., ., ., ., N, 1, .
., ., ., ., ., ., N, ., ., ., N, ., N, 1, .
., 1, 0, 0, ., ., ., ., ., ., ., ., ., ., .
., ., ., ., ., ., ., N, ., ., ., ., ., N, .
., ., ., 2, ., N, N, ., ., ., N, ., 1, N, 0
