N, ., ., ., 0, ., ., ., 0, N, ., ., ., N, .
., N, ., N, ., 2, N, ., ., N, ., 1, ., ., 1
., ., 0, 0, ., N, ., ., ., ., ., ., ., ., .
., 2, 0, ., N, ., ., ., ., ., ., N, ., ., .
N, ., N, N, ., ., N, ., ., ., ., ., ., 0, N
., ., 0, ., 4, ., N, N, ., N, N, ., ., N, .
N, ., ., ., ., ., N, ., 2, 1, N, ., ., N, .
., 4, ., ., N, ., ., 2, ., ., ., ., ., ., 1
N, ., 2, ., ., 3, 1, 0, ., ., ., N, ., ., .
1, ., ., 4, ., ., ., N, ., ., N, 1, ., ., N
0, 2, ., ., 1, 0, ., ., N, 1, 0, N, ., ., N
N, ., ., N, N, ., ., ., ., ., ., ., ., ., .
., N, ., ., ., ., ., N, ., 2, ., ., ., N, N
., ., ., 2, ., ., ., ., 4, ., ., 2, ., ., .
., ., ., ., ., 2, ., ., ., 1, 1, ., ., ., 1
