., N, N, ., ., ., ., ., ., ., ., 3, ., ., .
N, ., ., N, ., ., ., ., N, ., 4, ., ., ., .
N, ., ., ., ., ., ., ., ., ., ., 0, N, ., 2
., ., ., N, ., ., ., ., ., ., ., N, ., N, .
., ., N, 2, ., 4, ., 1, N, ., 0, ., 3, ., .
., 0, ., ., 2, ., N, N, ., 0, ., ., ., 0, 2
., 0, ., ., ., ., ., ., ., ., ., ., ., 1, .
., N, 3, ., N, ., ., N, ., ., ., 0, 1, ., 2
2, ., ., 1, 1, ., 2, ., ., ., 0, ., ., 0, .
., ., N, ., ., ., ., ., ., ., ., ., ., ., N
N, ., ., ., ., ., 3, ., ., ., ., ., ., N, .
., ., ., ., ., ., ., 0, 1, ., N, 3, ., ., .
., ., ., ., ., ., N, ., ., ., 1, ., ., ., .
N, ., N, ., 3, ., ., ., ., 0, ., ., ., ., .
., 3, ., ., ., ., ., ., ., ., ., N, ., 2, .
