., ., 1, ., N, ., N, ., 3, ., ., ., ., N, .
., ., 2, ., 1, ., N, ., ., 1, ., ., ., ., .
., ., N, ., ., ., ., N, N, ., 2, N, 0, ., .
N, ., N, N, ., 1, ., ., ., 1, N, ., ., ., N
., N, ., 0, ., ., ., ., ., ., ., ., N, N, .
., ., N, 2, ., N, N, ., ., ., ., ., ., ., .
., ., ., ., ., N, 0, 3, ., N, ., N, ., 1, .
N, ., N, ., ., ., ., ., ., N, 1, ., ., ., .
., ., 1, ., 3, ., ., N, ., N, N, ., ., N, .
., ., 2, N, ., N, 0, ., ., N, ., 0, N, N, .
., N, ., 1, ., ., ., N, ., N, 0, ., ., ., .
., ., ., ., N, ., ., ., ., ., ., 3, ., 2, .
., N, ., N, 1, ., 1, ., N, ., ., 0, ., 3, .
., ., ., ., ., ., ., 3, ., ., N, ., ., ., .
., ., ., N, ., ., ., ., ., ., ., ., ., ., .
