N, ., ., ., ., N, ., 1, N, 0, 2, ., 0, N, 0
., 3, ., ., ., ., ., N, ., ., ., ., ., 2, .
2, ., ., ., ., ., N, ., ., ., ., 1, ., ., .
2, ., ., 3, ., ., ., ., 1, ., ., ., N, N, .
., ., N, N, ., ., 3, N, 0, ., ., ., 3, ., 2
N, ., ., ., ., 0, ., ., ., ., ., ., ., ., .
., ., ., 2, N, ., ., ., ., ., ., ., 0, ., 1
., ., N, 2, ., N, N, ., ., ., N, ., 2, N, .
., ., ., ., ., ., 1, ., 2, ., ., ., ., ., .
., N, ., ., ., ., ., ., ., ., ., ., ., ., N
., ., ., 1, ., ., ., ., ., ., ., ., ., ., .
., ., ., ., 0, ., ., ., ., ., ., ., 3, ., .
., ., ., ., ., ., N, ., N, ., ., N, N, ., .
., ., ., N, ., 1, ., N, ., ., ., ., ., 2, N
., ., ., ., ., ., ., ., ., ., 0, ., N, ., .
