., N, 1, 1, ., 2, ., 2, ., ., 0, ., 2, 1, .
N, ., ., ., ., N, ., ., ., ., ., ., ., ., 2
0, ., ., ., 2, ., N, ., 1, 3, ., ., ., ., .
., ., ., ., ., ., ., N, ., ., ., ., N, ., .
., ., ., 2, ., 1, ., 3, ., ., ., ., ., N, .
., ., ., ., ., ., ., ., ., ., ., ., ., ., 3
., ., ., N, ., ., ., 0, ., ., ., 3, N, ., .
N, ., ., 1, ., N, ., ., ., 0, ., ., 2, 2, N
., N, ., ., ., ., ., ., ., N, 2, ., ., ., N
., ., 3, ., ., ., 1, 1, N, ., N, ., N, ., .
0, ., ., ., ., ., 0, 2, ., ., ., ., ., ., 0
., ., ., ., ., ., N, ., ., N, ., N, N, 1, N
0, ., ., ., N, ., N, N, ., ., N, ., ., 0, N
., N, ., ., ., 1, ., N, ., 2, ., ., 4, ., 1
2, ., 2, ., 3, ., ., ., N, 0, N, ., ., ., N
