2, ., ., ., ., ., ., ., ., ., ., ., ., ., .
., ., ., ., ., ., 1, ., ., ., 0, ., ., ., .
., ., ., ., ., ., ., ., ., N, ., ., N, 0, 0
., ., ., ., ., ., 0, ., N, ., ., ., ., ., .
N, N, ., 3, N, ., N, ., ., ., ., ., ., ., .
0, ., ., ., ., ., ., ., ., ., ., ., ., 2, N
., 1, N, ., ., ., ., ., N, ., N, ., 0, 2, .
., ., ., ., N, ., ., ., ., N, ., ., N, ., .
., 1, N, 2, N, ., ., ., ., 0, ., ., ., ., N
., ., ., ., ., ., ., ., N, 2, ., ., N, ., N
N, ., ., N, ., 1, N, ., ., ., N, ., N, ., .
N, 0, ., ., ., ., N, ., ., 2, ., ., ., ., N
., 1, 1, ., ., ., ., ., ., N, ., 4, ., ., .
., 2, ., ., ., ., ., 0, 1, 2, ., ., ., ., .
., N, 1, N, ., 1, N, ., N, ., 1, N, ., ., .
