., ., N, 1, 2, ., N, ., 0, ., 3, ., ., N, 0
N, ., 2, ., ., ., ., 1, 0, N, ., 2, N, ., .
., N, ., 0, ., ., 0, 1, 0, N, ., ., ., ., .
., 2, ., 1, ., ., ., ., ., ., ., ., ., ., .
., 0, 2, ., ., ., ., ., ., ., 1, ., N, ., .
., ., 2, N, ., ., ., ., 3, ., ., ., ., ., .
1, ., ., 0, ., ., ., ., ., N, ., N, ., ., .
., ., ., ., ., ., ., ., ., ., ., ., N, ., .
., N, N, ., ., ., ., ., ., N, ., ., ., 1, .
., ., ., ., ., ., ., N, ., ., 1, N, N, ., .
., ., ., ., ., N, ., ., N, ., ., ., ., ., N
., ., ., ., ., 1, ., ., ., N, N, ., 2, 1, .
N, ., ., 4, ., ., ., ., ., ., N, ., ., ., .
0, 0, ., ., ., ., ., ., ., ., ., 3, ., N, .
., N, ., ., ., ., ., 1, ., 2, ., ., ., 1, N
