., ., ., N, ., N, ., ., ., ., N, ., 2, ., .
., N, ., N, ., ., ., N, ., ., ., 1, N, ., N
., ., ., ., ., N, ., N, ., ., ., ., ., ., .
., ., ., ., ., ., 0, N, 1, ., ., N, ., N, N
., ., ., ., N, ., ., N, N, 2, ., ., ., 3, .
., 0, ., N, N, ., ., 0, ., ., ., 0, 0, ., N
N, 0, 2, N, N, 0, N, ., N, ., ., ., ., N, .
., ., ., ., ., 2, ., ., 2, ., ., N, ., ., .
., ., ., ., ., 0, N, N, ., ., N, ., ., ., .
., ., ., N, 2, ., ., ., N, ., ., ., ., ., .
., ., ., 0, ., ., ., ., ., 1, ., ., ., ., N
., ., 2, 1, ., ., 3, ., ., N, ., ., N, ., .
., ., ., ., N, ., 1, N, ., ., N, ., ., ., .
., N, ., ., 2, N, N, N, ., 0, 0, N, ., N, .
0, ., ., ., ., ., N, ., ., N, 1, ., N, ., 0
