., ., ., ., ., ., ., 1, ., ., 0, N, ., N, .
0, ., 0, ., ., ., ., 2, N, ., ., ., 2, ., .
1, ., ., 2, ., 4, ., ., ., ., ., N, ., ., .
., ., N, ., ., ., ., ., 2, ., N, 2, ., ., N
1, ., ., 1, ., ., ., ., 3, ., ., ., N, ., N
., 4, ., ., ., ., 3, ., ., ., ., ., 1, N, N
., ., ., N, ., ., ., N, 2, N, N, ., ., ., .
., ., ., ., ., ., ., ., ., ., ., ., ., N, .
2, ., ., ., 1, N, N, N, ., ., ., ., 1, ., .
., ., ., ., ., N, ., ., ., ., ., ., ., ., N
., N, ., 0, ., 2, 1, ., ., N, N, ., ., ., .
., ., ., ., ., ., ., ., ., ., ., ., ., 4, .
N, 2, ., N, ., ., ., N, ., ., ., ., ., ., N
2, ., ., N, ., ., ., 2, 2, N, ., ., ., ., .
., ., ., ., ., ., N, ., ., ., ., ., ., ., .
